Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAC.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_ORF9_TRS-3_subsampled_aligned4
0	-74080.3713827197	-73214.92762736815	-865.4437553515553	-73214.92762736815	2.6452732975747857	22.66656007049771	15	9	72	83	1	2.0	2.0	0.0	4.2E-5	0.0	4.2E-5	52.14	52.14	0.001	0.001	0.5	0.5	8.0E-4	1.0	1.0	1.0	1.0	1.0	0.25	0.25	0.25	0.25
1000	-66897.83770449398	-66754.26085529706	-143.57684919691474	-66754.26085529706	2.5068553941415614	71.55255179846444	14	11	75	80	1	1.0815990969747193	1.0726266061762122	0.0	6.762136432890684E-5	0.0	7.609817270788168E-5	74.24678730440395	74.24678730440395	7.73110085109537E-4	8.643864341318787E-4	0.5008409604671686	0.4991590395328314	0.0011518054811380748	0.6869214065892949	1.0	1.0	1.0	1.0	0.25056328345650813	0.2494367165434919	0.25	0.25
2000	-65043.18630346826	-64903.92758199252	-139.25872147574182	-64903.92758199252	3.610584332240999	117.68969867142462	11	14	81	74	1	1.046568738419649	1.0761888727350113	0.0	1.1771140154845356E-4	0.0	1.6161618586962178E-4	65.48922901077249	65.48922901077249	7.491413369116401E-4	6.608704504617085E-4	0.4244399068808909	0.5755600931191092	6.738749541894974E-4	0.6869214065892949	1.0	1.0	1.0	1.0	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
3000	-63635.85689214404	-63439.37623718116	-196.4806549628792	-63439.37623718116	3.999263151973017	146.24768759318536	11	19	85	70	0	1.0395236734490425	1.0689444173535991	0.0	1.50857135459965E-4	0.0	1.9189587713639165E-4	59.00688014729814	59.00688014729814	6.336425879925668E-4	7.051733880409405E-4	0.5552686884983338	0.44473131150166634	5.032256490497872E-4	0.6869214065892949	1.0	0.9277912482412454	0.6953807593882071	0.7488014654263911	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
4000	-62925.640187464924	-62743.41984693325	-182.22034053167516	-62743.41984693325	3.556718739764737	130.9004122680151	13	18	83	72	1	1.0505254060301585	1.078362120684979	0.0	1.7657099041451345E-4	0.0	2.6341576249624905E-4	57.46860818473535	57.46860818473535	6.95829554168854E-4	6.3949382748953E-4	0.6528590789708071	0.347140921029193	5.281944391692091E-4	0.6869214065892949	1.0	0.9277912482412454	0.6953807593882071	0.7488014654263911	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
5000	-62390.94269849559	-62269.15969325791	-121.78300523768463	-62269.15969325791	3.0583411527341102	127.09562240469032	10	17	84	71	0	1.050878844477093	1.073881274206696	0.0	1.5671014913475574E-4	0.0	2.888898430450385E-4	58.88579929274579	58.88579929274579	7.840498604926864E-4	7.010271068972467E-4	0.6528590789708071	0.347140921029193	5.553188873983038E-4	0.5641654865056936	1.0	0.8105555801087447	0.39906984654296174	0.7488014654263911	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
6000	-61986.49261347043	-61829.55998445357	-156.9326290168603	-61829.55998445357	3.5551583367805546	146.47670251411213	10	19	86	69	0	1.0466343285156798	1.0793196954563395	0.0	1.696591156853866E-4	0.0	3.8413083697927234E-4	54.807642565192374	54.807642565192374	9.216678646922095E-4	5.772827642300007E-4	0.6528590789708071	0.347140921029193	4.600546584761067E-4	0.5641654865056936	1.0	0.8105555801087447	0.39906984654296174	0.7488014654263911	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
7000	-61322.36076623748	-61190.2193797097	-132.14138652777783	-61190.2193797097	3.1074287848451037	130.27824059068402	11	19	85	70	0	1.0406521408664626	1.0746930004673583	0.0	1.855349127547948E-4	0.0	3.9959357515756926E-4	56.50183974102904	56.50183974102904	0.0015995896245812279	7.766974073034535E-4	0.6427239521103539	0.3572760478896461	5.1177361356983E-4	0.446072232557874	1.0	0.5243828258282813	0.39906984654296174	0.7488014654263911	0.25056328345650813	0.2494367165434919	0.24054965923537894	0.25945034076462103
8000	-60651.5116186403	-60568.91369733573	-82.59792130457066	-60568.91369733573	2.8448952224261532	114.76398502104563	9	20	88	67	0	1.0692712177465222	1.122906829202244	0.0	2.246197297968158E-4	0.0	5.311349512715703E-4	50.00707880766526	50.00707880766526	0.0016770184290498097	0.0015918224716894235	0.551401803164064	0.44859819683593616	5.444973020445511E-4	0.446072232557874	0.8511786779401136	0.5243828258282813	0.32698749895240814	0.7488014654263911	0.2509593986999224	0.24904060130007763	0.24054965923537894	0.25945034076462103
9000	-59777.48192161389	-59729.3425442052	-48.139377408693306	-59729.3425442052	2.6826317587375295	112.95489042084348	8	17	86	69	0	1.0626356401499804	1.122906829202244	0.0	3.3388137571074985E-4	0.0	6.046216252307259E-4	51.562898176117784	51.562898176117784	0.0024008264699901926	0.0030064287503947565	0.5578453268157857	0.4421546731842145	5.414748046103637E-4	0.446072232557874	0.8511786779401136	0.5243828258282813	0.32698749895240814	0.6065306424238902	0.2582876422658533	0.24904060130007763	0.23322141566944798	0.25945034076462103
