Sample	posterior	likelihood	prior	treeLikelihood.hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeHeight.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	treeLength.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent_to_Present	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present_to_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Absent	Tree.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned.count_Present	rootTypeLogger.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	R0.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	samplingProportion.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	becomeUninfectiousRate.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	rateMatrix.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	geo-frequencies.t:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	clockRate.c:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned1	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned2	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned3	freqParameter.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned4	rateAC.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateAT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateCG.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	rateGT.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned	gammaShape.s:hcov_USA_post2020-09-01_EMSI_nsp6_Delta9_subsampled_aligned
0	-57392.73954334458	-56733.866572006395	-658.8729713381847	-56733.866572006395	1.7686561314373863	16.051609633873582	16	9	32	45	1	2.0	2.0	0.0	8.4E-5	0.0	8.4E-5	52.14	52.14	0.001	0.001	0.5	0.5	8.0E-4	0.25	0.25	0.25	0.25	1.0	1.0	1.0	1.0	1.0	1.0
1000	-52663.371117883464	-52492.90031462802	-170.4708032554386	-52492.90031462802	2.9561233086989627	57.009353798089485	10	17	45	32	0	1.0537755837948073	1.1894211331042437	0.0	1.1468683425105461E-4	0.0	8.747215845778584E-5	52.407536536832104	52.407536536832104	0.0013675675742702703	0.0010880529658932752	0.5138256162346663	0.4861743837653337	7.140001856111716E-4	0.25	0.25	0.25	0.25	1.0	1.0	0.8170538454123529	1.0	1.0	1.0
2000	-51758.557184873214	-51618.77176685715	-139.78541801606582	-51618.77176685715	3.266038310907592	73.0195088415592	7	17	48	29	0	1.049006295616282	1.1592937445666631	0.0	1.1727570534322577E-4	0.0	1.0066221413662655E-4	51.547491244762476	51.547491244762476	0.0018272286065045711	0.001271554661955836	0.5146013385801399	0.48539866141986016	5.113767343957855E-4	0.25	0.25	0.25	0.25	0.9067201108496175	1.0	0.8170538454123529	1.0	1.0	1.0
3000	-50835.79627677726	-50766.95760767766	-68.8386690996023	-50766.95760767766	2.8157542042310837	68.70927097492962	3	17	52	25	0	1.0496175304545114	1.1957006907696663	0.0	1.5538164478698962E-4	0.0	1.1932670544029017E-4	50.78162668332924	50.78162668332924	0.002721072833030592	0.0010950464530524889	0.5146013385801399	0.48539866141986016	4.8417002105490415E-4	0.25801438068016413	0.24198561931983584	0.25	0.25	0.4634497248080754	1.0	0.8170538454123529	1.0	0.560820635035374	1.0
4000	-50359.24190939186	-50289.80052757105	-69.44138182080592	-50289.80052757105	2.876301009290623	72.88870422302085	3	18	53	24	0	1.0525863549589523	1.1990827088931597	0.0	1.4465503658667243E-4	0.0	1.0492487662466813E-4	51.641094204321256	51.641094204321256	0.004357718384114826	0.0016584160011325004	0.46990421455851455	0.5300957854414855	4.167258244137259E-4	0.25801438068016413	0.24198561931983584	0.25	0.25	0.4634497248080754	1.0	0.4818216500645648	0.5854410141986564	0.7996793505259027	1.0
5000	-49821.72471414255	-49722.3676337203	-99.35708042225066	-49722.3676337203	3.128680920097091	82.35052844824584	5	18	51	26	0	1.0326651448894295	1.1762394945258365	0.0	1.5344331677659377E-4	0.0	1.0514350626914043E-4	54.16176015112314	54.16176015112314	0.004677923706648852	0.002325662162072561	0.41876247144870654	0.5812375285512934	3.4653018054734086E-4	0.25801438068016413	0.24198561931983584	0.25	0.25	0.2400270488022779	1.0	0.4818216500645648	0.5854410141986564	0.7236631929333192	1.0
6000	-49292.79448066994	-49237.605968906326	-55.18851176361371	-49237.605968906326	2.916181887842711	78.17675542992103	3	16	51	26	0	1.0483088078567677	1.1951373379702168	0.0	1.6486878735054794E-4	0.0	1.0840781418277034E-4	48.880111616442534	48.880111616442534	0.0054835580712136595	0.003165868505815878	0.3689087182566549	0.631091281743345	3.5640004849286715E-4	0.25801438068016413	0.24198561931983584	0.25	0.25	0.2400270488022779	0.9632793617188412	0.45480581609701326	0.5854410141986564	0.7236631929333192	1.0
7000	-49139.66374444205	-49101.07852833668	-38.5852161053704	-49101.07852833668	3.054019613955707	78.33072042163981	2	14	50	27	0	1.0407256790408377	1.1652476426043563	0.0	1.6325075755648107E-4	0.0	1.14894304682133E-4	51.872404940949586	51.872404940949586	0.005243828065048071	0.003571136120605213	0.46212247006310336	0.5378775299368965	3.2631536518277804E-4	0.25280861071169103	0.24198561931983584	0.25	0.2552057699684731	0.17774361668772312	0.9632793617188412	0.45480581609701326	0.5854410141986564	0.3905078248197733	0.8386350863486829
8000	-48750.19427839701	-48729.51233470625	-20.681943690760143	-48729.51233470625	2.6198579629573793	65.32131227790336	2	13	49	28	0	1.0487252497183266	1.174204355272753	0.0	1.2382902260344502E-4	0.0	1.4014837237924676E-4	53.19952646584014	53.19952646584014	0.005993362840342451	0.0020020972079236423	0.31130855631656973	0.6886914436834302	4.0484291690123624E-4	0.25280861071169103	0.24198561931983584	0.25	0.2552057699684731	0.17774361668772312	0.8280880509919588	0.24690608346075565	0.3832598477521278	0.3905078248197733	0.8386350863486829
9000	-48641.07482050535	-48634.99706097958	-6.077759525774699	-48634.99706097958	2.8724219664810686	69.76040444965388	2	11	47	30	0	1.0412193883530476	1.134476642683457	0.0	1.260405470681699E-4	0.0	1.6818716723513905E-4	53.54495793121433	53.54495793121433	0.009003194026490339	0.0034939079369931455	0.23248786256430648	0.7675121374356935	3.8076172821881557E-4	0.25280861071169103	0.24198561931983584	0.25	0.2552057699684731	0.17774361668772312	0.8280880509919588	0.14137741742804885	0.3832598477521278	0.3905078248197733	0.8386350863486829
