accession_id,virus_name,collection_date
EPI_ISL_1169542,hCoV-19/USA/MP-CDC-2-3831007/2020,2020-12-24
EPI_ISL_1074398,hCoV-19/USA/TX-HMH-MCoV-19959/2020,2020-12-29
EPI_ISL_1163793,hCoV-19/USA/NC-UNC-LCCC0346/2021,2021-01-27
EPI_ISL_1017216,hCoV-19/USA/WA-PROV-707/2020,2020-10-29
EPI_ISL_1017224,hCoV-19/USA/WA-PROV-718/2020,2020-10-29
EPI_ISL_968173,hCoV-19/USA/NC-UNC-LCCC0225/2020,2020-09-01
EPI_ISL_1087007,hCoV-19/USA/NH-CDC-21490956/2021,2021-01-25
EPI_ISL_1087097,hCoV-19/USA/NH-CDC-21490800/2021,2021-01-26
EPI_ISL_1016927,hCoV-19/USA/AZ-ASPHL-3320/2020,2020-12-28
EPI_ISL_1016926,hCoV-19/USA/AZ-ASPHL-3305/2020,2020-12-28
EPI_ISL_786345,hCoV-19/USA/TX-HMH-MCoV-14861/2020,2020-10-12
EPI_ISL_786781,hCoV-19/USA/TX-HMH-MCoV-15297/2020,2020-10-21
EPI_ISL_903960,hCoV-19/USA/WA-CDC-2-3766724/2020,2020-11-23
EPI_ISL_1029856,hCoV-19/USA/NC-CDC-LC0002643/2021,2021-01-03
EPI_ISL_1029862,hCoV-19/USA/NC-CDC-LC0002652/2021,2021-01-03
EPI_ISL_803326,hCoV-19/USA/WI-WSLH-201067/2020,2020-09-28
EPI_ISL_1134220,hCoV-19/USA/FL-CDC-STM-000012505/2021,2021-02-10
EPI_ISL_967237,hCoV-19/USA/FL-CDC-STM-000001658/2021,2021-01-11
EPI_ISL_1091775,hCoV-19/USA/OH-USAFSAM-S0739/2021,2021-02-10
EPI_ISL_893737,hCoV-19/USA/MA-CDC-9TWQ-1385/2020,2020-12-12
EPI_ISL_903457,hCoV-19/USA/CA-QDX-4063/2021,2021-01-08
EPI_ISL_753291,hCoV-19/USA/CA-CHLA-PLM47560065/2020,2020-11-09
EPI_ISL_753396,hCoV-19/USA/CA-CHLA-PLM20127810/2020,2020-11-20
